"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","64009","0"
"StopSequence1","2","64019","0.7"
"StopSequence2","3","63069","1"
"StopSequence3","4","63249","1.4"
"StopSequence4","5","63071","1.9"
"StopSequence5","6","63081","2.2"
"StopSequence6","7","63091","2.6"
"StopSequence7","8","63101","2.9"
"StopSequence8","9","62231","3.3"
"StopSequence9","10","62241","3.6"
"StopSequence10","11","71051","4"
"StopSequence11","12","71061","4.5"
"StopSequence12","13","71071","4.9"
"StopSequence13","14","71081","5.3"
"StopSequence14","15","71091","5.8"
"StopSequence15","16","72019","6.2"
"StopSequence16","17","83119","6.9"
"StopSequence17","18","83109","7.1"
"StopSequence18","19","82069","7.8"
"StopSequence19","20","82049","8.3"
"StopSequence20","21","82029","8.7"
"StopSequence21","22","82109","9"
"StopSequence22","23","81069","9.3"
"StopSequence23","24","81049","9.8"
"StopSequence24","25","81029","10.1"
"StopSequence25","26","80089","10.6"
"StopSequence26","27","80069","11"
"StopSequence27","28","80049","11.5"
"StopSequence28","29","80039","11.7"
"StopSequence29","30","80029","12.2"
"StopSequence30","31","01339","12.7"
"StopSequence31","32","01329","13.1"
"StopSequence32","33","01229","13.6"
"StopSequence33","34","01139","14"
"StopSequence34","35","01039","14.3"
"StopSequence35","36","01029","14.5"
"StopSequence36","37","04168","15.1"
"StopSequence37","38","04249","15.3"
"StopSequence38","39","05029","15.7"
"StopSequence39","40","05131","16.3"
"StopSequence40","41","06171","16.7"
"StopSequence41","42","06161","17.2"
"StopSequence42","43","06151","17.5"
"StopSequence43","44","06141","18"
"StopSequence44","45","10221","18.3"
"StopSequence45","46","10231","18.7"
"StopSequence46","47","10241","19.2"
"StopSequence47","48","10261","19.6"
"StopSequence48","49","10271","19.9"
"StopSequence49","50","10281","20.3"
"StopSequence50","51","10291","20.7"
"StopSequence51","52","11131","21.2"
"StopSequence52","53","11141","21.4"
"StopSequence53","54","11151","22"
"StopSequence54","55","11059","22.3"
"StopSequence55","56","11049","22.7"
"StopSequence56","57","11039","23.1"
"StopSequence57","58","11029","23.5"
"StopSequence58","59","11519","24.1"
"StopSequence59","60","18019","24.8"
"StopSequence60","61","15059","25.3"
"StopSequence61","62","15049","25.6"
"StopSequence62","63","15141","26"
"StopSequence63","64","15151","26.3"
"StopSequence64","65","15161","26.5"
"StopSequence65","66","15191","27"
"StopSequence66","67","15201","27.3"
"StopSequence67","68","15221","27.9"
"StopSequence68","69","16201","28.2"
"StopSequence69","70","16011","28.5"
"StopSequence70","71","16021","29"
"StopSequence71","72","16031","29.3"
"StopSequence72","73","16041","29.5"
"StopSequence73","74","16051","29.8"
"StopSequence74","75","16061","30"
"StopSequence75","76","16071","30.3"
"StopSequence76","77","16081","30.6"
"StopSequence77","78","17011","30.9"
"StopSequence78","79","17021","31.2"
"StopSequence79","80","17381","31.5"
"StopSequence80","81","17031","31.8"
"StopSequence81","82","17041","32.1"
"StopSequence82","83","17061","32.6"
"StopSequence83","84","17071","32.8"
"StopSequence84","85","20291","33.2"
"StopSequence85","86","20281","33.7"
"StopSequence86","87","20131","34.3"
"StopSequence87","88","20141","34.7"
"StopSequence88","89","20199","34.9"
"StopSequence89","90","20189","35.2"
"StopSequence90","91","20261","35.5"
"StopSequence91","92","20271","35.9"
"StopSequence92","93","28221","36.2"
"StopSequence93","94","28231","36.5"
"StopSequence94","95","28241","36.9"
"StopSequence95","96","28439","37.3"
"StopSequence96","97","28009","37.8"
