"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode"
"routeInfo",30,SBST,22009,84009,2018-04-14T20:12:00+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:00+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:36:00+08:00,0,0,1,SEA,WAB,DD,1.339323347,103.705457,22009
"",30,SBST,22009,84009,2018-04-14T20:07:34+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:46+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:27:46+08:00,0,0,1,SEA,WAB,DD,1.341549821,103.7120308,21699
"",30,SBST,22009,84009,2018-04-14T20:08:18+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:16:32+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:28:32+08:00,0,0,1,SEA,WAB,DD,1.342419846,103.7144234,21689
"",30,SBST,22009,84009,2018-04-14T20:09:58+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:18:18+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:30:18+08:00,0,0,1,SEA,WAB,DD,1.342003461,103.7160202,21229
"",30,SBST,22009,84009,2018-04-14T20:10:36+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:19:01+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:31:01+08:00,0,0,1,SEA,WAB,DD,1.340103561,103.7162593,21219
"",30,SBST,22009,84009,2018-04-14T20:11:43+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:08+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:32:08+08:00,0,0,1,SEA,WAB,DD,1.337935099,103.7181621,21619
"",30,SBST,22009,84009,2018-04-14T20:12:57+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:21:23+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:33:23+08:00,0,0,1,SEA,WAB,DD,1.337751668,103.7210263,21609
"",30,SBST,22009,84009,2018-04-14T20:14:23+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:42+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:34:42+08:00,0,0,1,SEA,WAB,DD,1.334683562,103.7226849,21599
"",30,SBST,22009,84009,2018-04-14T20:15:44+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:23:47+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:35:47+08:00,0,0,1,SEA,WAB,DD,1.332465687,103.7234581,21589
"",30,SBST,22009,84009,2018-04-14T20:16:54+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:44+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:36:44+08:00,0,0,1,SEA,WAB,DD,1.330134723,103.7231809,21579
"",30,SBST,22009,84009,2018-04-14T20:17:24+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:25:23+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:37:23+08:00,0,0,1,SEA,WAB,DD,1.328572039,103.7228981,21569
"",30,SBST,22009,84009,2018-04-14T20:19:00+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:26:53+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:38:53+08:00,0,0,1,SEA,WAB,DD,1.326626599,103.7206391,21559
"",30,SBST,22009,84009,2018-04-14T20:20:26+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:28:25+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:40:25+08:00,0,0,1,SEA,WAB,DD,1.325861667,103.7192953,21179
"",30,SBST,22009,84009,2018-04-14T20:21:28+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:29:32+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:41:32+08:00,0,0,1,SEA,WAB,DD,1.324315132,103.7216714,21029
"",30,SBST,22009,84009,2018-04-14T20:22:17+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:30:22+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:42:22+08:00,0,0,1,SEA,WAB,DD,1.325548678,103.7270332,21019
"",30,SBST,22009,84009,2018-04-14T20:07:43+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:24:20+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:32:16+08:00,0,0,1,SEA,WAB,DD,1.327029677,103.739223,20089
"",30,SBST,22009,84009,2018-04-14T20:09:53+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:26:30+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:34:53+08:00,0,0,1,SEA,WAB,DD,1.321517806,103.7458094,20269
"",30,SBST,22009,84009,2018-04-14T20:10:53+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:27:30+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:35:45+08:00,0,0,1,SEA,WAB,DD,1.319621876,103.74477,20259
"",30,SBST,22009,84009,2018-04-14T20:11:44+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:28:21+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:36:34+08:00,0,0,1,SEA,WAB,DD,1.318511375,103.7464017,20159
"",30,SBST,22009,84009,2018-04-14T20:12:39+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:29:16+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:37:33+08:00,0,0,1,SEA,WAB,DD,1.317959697,103.7489727,20149
"",30,SBST,22009,84009,2018-04-14T20:13:43+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:30:20+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:38:31+08:00,0,0,1,SEA,WAB,DD,1.315841669,103.7520438,20139
"",30,SBST,22009,84009,2018-04-14T20:14:52+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:31:29+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:39:40+08:00,0,0,1,SEA,WAB,DD,1.312488018,103.7550342,20289
"",30,SBST,22009,84009,2018-04-14T20:15:57+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:32:34+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:40:37+08:00,0,0,1,SEA,WAB,DD,1.310928042,103.7585754,20299
"",30,SBST,22009,84009,2018-04-14T20:17:01+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:33:38+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:41:35+08:00,0,0,1,SEA,WAB,DD,1.309683042,103.7599936,17079
"",30,SBST,22009,84009,2018-04-14T20:18:06+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:34:43+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:42:38+08:00,0,0,1,SEA,WAB,DD,1.307766372,103.7621407,17069
"",30,SBST,22009,84009,2018-04-14T20:19:39+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:36:16+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,22009,84009,2018-04-14T20:44:21+08:00,0,0,1,SEA,WAB,DD,1.304706382,103.7645982,17049
"",30,SBST,22009,84009,2018-04-14T20:06:18+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:21:16+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:37:53+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.301531646,103.7660643,17039
"",30,SBST,22009,84009,2018-04-14T20:07:14+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:12+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:38:49+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.299081389,103.7670019,17389
"",30,SBST,22009,84009,2018-04-14T20:08:13+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:23:11+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:39:48+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.296945701,103.767103,17029
"",30,SBST,22009,84009,2018-04-14T20:08:45+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:23:43+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:40:20+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.293797479,103.7670518,17019
"",30,SBST,22009,84009,2018-04-14T20:09:58+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:24:56+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:41:30+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.292011383,103.7690842,16089
"",30,SBST,22009,84009,2018-04-14T20:10:34+08:00,1.3014486666666667,103.7660535,1,SEA,WAB,DD,22009,84009,2018-04-14T20:25:32+08:00,1.3255080000000001,103.7271325,1,SEA,WAB,SD,22009,84009,2018-04-14T20:42:05+08:00,1.3402411666666667,103.709219,1,SEA,WAB,DD,1.291382649,103.7712984,16079
