"","SequenceNo","BusStopCode","Distance"
"StopSequence","1","54009","0"
"StopSequence1","2","54248","0.6"
"StopSequence2","3","54019","1.1"
"StopSequence3","4","54071","1.5"
"StopSequence4","5","54081","1.9"
"StopSequence5","6","54091","2.3"
"StopSequence6","7","54101","2.9"
"StopSequence7","8","66091","3.8"
"StopSequence8","9","66031","4.3"
"StopSequence9","10","66369","4.7"
"StopSequence10","11","66389","5.2"
"StopSequence11","12","62129","5.7"
"StopSequence12","13","62119","6"
"StopSequence13","14","61049","6.3"
"StopSequence14","15","61039","6.7"
"StopSequence15","16","61029","7"
"StopSequence16","17","61019","7.3"
"StopSequence17","18","60269","7.6"
"StopSequence18","19","60209","7.7"
"StopSequence19","20","60179","8.2"
"StopSequence20","21","60159","8.4"
"StopSequence21","22","60139","8.7"
"StopSequence22","23","60119","9.2"
"StopSequence23","24","60099","9.7"
"StopSequence24","25","07359","9.9"
"StopSequence25","26","07369","10.2"
"StopSequence26","27","07379","10.4"
"StopSequence27","28","01319","10.7"
"StopSequence28","29","01219","11.1"
"StopSequence29","30","01129","11.4"
"StopSequence30","31","01059","11.8"
"StopSequence31","32","01119","12"
"StopSequence32","33","01019","12.4"
"StopSequence33","34","02049","12.8"
"StopSequence34","35","02151","13.4"
"StopSequence35","36","02161","14.1"
"StopSequence36","37","02171","14.4"
"StopSequence37","38","03509","15.3"
"StopSequence38","39","03519","15.6"
"StopSequence39","40","03539","16.2"
"StopSequence40","41","03529","16.6"
"StopSequence41","42","03129","17.2"
"StopSequence42","43","03218","17.8"
"StopSequence43","44","03239","18"
