ServiceNo,Operator,NextBus.OriginCode,NextBus.DestinationCode,NextBus.EstimatedArrival,NextBus.Latitude,NextBus.Longitude,NextBus.VisitNumber,NextBus.Load,NextBus.Feature,NextBus.Type,NextBus2.OriginCode,NextBus2.DestinationCode,NextBus2.EstimatedArrival,NextBus2.Latitude,NextBus2.Longitude,NextBus2.VisitNumber,NextBus2.Load,NextBus2.Feature,NextBus2.Type,NextBus3.OriginCode,NextBus3.DestinationCode,NextBus3.EstimatedArrival,NextBus3.Latitude,NextBus3.Longitude,NextBus3.VisitNumber,NextBus3.Load,NextBus3.Feature,NextBus3.Type,lat,long,BusStopCode,timestamp
97,TTS,28009,2089,2018-04-16T06:03:00+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:12:00+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,SD,1.333408188,103.7415425,28009,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:06:17+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:15:17+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:17+08:00,0,0,1,SEA,WAB,SD,1.334738999,103.740303,28301,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:57:45+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:07:44+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:16:44+08:00,0,0,1,SEA,WAB,DD,1.334496265,103.7388156,28431,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:58:39+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:08:24+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:17:24+08:00,0,0,1,SEA,WAB,DD,1.332122873,103.7397917,28249,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:59:57+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:09:51+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:18:51+08:00,0,0,1,SEA,WAB,DD,1.329804425,103.7430715,28239,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:01:24+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:10:54+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:54+08:00,0,0,1,SEA,WAB,DD,1.325366752,103.7459319,28229,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:02:29+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:11:40+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:40+08:00,0,0,1,SEA,WAB,DD,1.323321088,103.7476935,20059,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:04:02+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:12:43+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:43+08:00,0,0,1,SEA,WAB,DD,1.321024998,103.7547151,20039,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:05:02+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:13:44+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:22:44+08:00,0,0,1,SEA,WAB,DD,1.31776998,103.7576127,20029,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:57:42+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:06:13+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:14:55+08:00,0,0,1,SEA,WAB,DD,1.313576111,103.7615108,20019,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:58:32+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:07:11+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:15:41+08:00,0,0,1,SEA,WAB,DD,1.311715151,103.7634618,17149,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T05:59:32+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:08:11+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:16:35+08:00,0,0,1,SEA,WAB,DD,1.309033047,103.76587,17139,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:00:45+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:09:26+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:17:31+08:00,0,0,1,SEA,WAB,DD,1.305141367,103.7698584,17129,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:02:35+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:11:19+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:10+08:00,0,0,1,SEA,WAB,DD,1.3006125,103.7781514,16099,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:04:04+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:12:48+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:15+08:00,0,0,1,SEA,WAB,DD,1.296481774,103.7845539,18079,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:05:54+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:14:38+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:44+08:00,0,0,1,SEA,WAB,DD,1.294034366,103.786726,18109,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:07:23+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:16:07+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:22:53+08:00,0,0,1,SEA,WAB,DD,1.290181477,103.7920809,18049,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:11:00+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:44+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:39+08:00,0,0,1,SEA,WAB,DD,1.280910556,103.8025231,18019,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:12:07+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:51+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:27:41+08:00,0,0,1,SEA,WAB,DD,1.276861944,103.8027011,15059,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:12:56+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:40+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:28:13+08:00,0,0,1,SEA,WAB,DD,1.274590541,103.8021634,15049,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:14:16+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:00+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:21+08:00,0,0,1,SEA,WAB,DD,1.272693033,103.8039836,14189,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:14:44+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:28+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:46+08:00,0,0,1,SEA,WAB,DD,1.271884546,103.8063,14179,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:15:19+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:03+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:30:19+08:00,0,0,1,SEA,WAB,DD,1.271185504,103.8094181,14169,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:16:55+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:25:39+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:31:54+08:00,0,0,1,SEA,WAB,DD,1.269940464,103.8131542,14159,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:17:45+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:29+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:32:38+08:00,0,0,1,SEA,WAB,DD,1.268635277,103.8154695,14139,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:19:37+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:28:21+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:34:12+08:00,0,0,1,SEA,WAB,DD,1.266078691,103.8197788,14129,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:20:53+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:37+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:35:28+08:00,0,0,1,SEA,WAB,DD,1.265923609,103.8222828,14119,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:22:44+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:31:28+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:37:13+08:00,0,0,1,SEA,WAB,DD,1.268046016,103.8272249,14109,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:23:32+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:32:16+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:37:54+08:00,0,0,1,SEA,WAB,DD,1.27046005,103.8297928,14089,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:24:45+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:33:29+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:39:00+08:00,0,0,1,SEA,WAB,DD,1.272613333,103.8369486,14069,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:26:24+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:35:08+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:40:20+08:00,0,0,1,SEA,WAB,DD,1.272723931,103.8414062,5641,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:28:12+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:36:56+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,28009,2089,2018-04-16T06:42:08+08:00,0,0,1,SEA,WAB,DD,1.273978369,103.8448956,3222,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:29:56+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:38:40+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,,,,,,,,,,1.277825954,103.8481012,3111,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:30:46+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,28009,2089,2018-04-16T06:39:30+08:00,1.334993333,103.7403328,1,SEA,WAB,DD,,,,,,,,,,1.279921325,103.8493803,3071,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:34:37+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.281626013,103.8530651,3381,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:35:02+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.280376603,103.8549801,3391,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:36:56+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.281947795,103.8589706,3511,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:38:13+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.285004677,103.8606111,3501,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:40:15+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.293338368,103.8607085,2169,16/4/2018 5:58
97,TTS,28009,2089,2018-04-16T06:41:13+08:00,1.315536333,103.7595662,1,SEA,WAB,DD,,,,,,,,,,,,,,,,,,,1.293608112,103.8584067,2159,16/4/2018 5:58
1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944,103.8592061,2089,16/4/2018 5:58,1.291526944
1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617,103.8625577,2099,16/4/2018 5:58,1.291016617
Operator,NextBus.OriginCode,NextBus.DestinationCode,NextBus.EstimatedArrival,NextBus.Latitude,NextBus.Longitude,NextBus.VisitNumber,NextBus.Load,NextBus.Feature,NextBus.Type,NextBus2.OriginCode,NextBus2.DestinationCode,NextBus2.EstimatedArrival,NextBus2.Latitude,NextBus2.Longitude,NextBus2.VisitNumber,NextBus2.Load,NextBus2.Feature,NextBus2.Type,NextBus3.OriginCode,NextBus3.DestinationCode,NextBus3.EstimatedArrival,NextBus3.Latitude,NextBus3.Longitude,NextBus3.VisitNumber,NextBus3.Load,NextBus3.Feature,NextBus3.Type,lat,long,BusStopCode,timestamp,
97,TTS,28009,2089,2018-04-16T06:12:00+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:00+08:00,0,0,1,SEA,WAB,SD,28009,2089,2018-04-16T06:30:00+08:00,0,0,1,SEA,WAB,DD,1.333408188,103.7415425,28009,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:07:55+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:15:17+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:17+08:00,0,0,1,SEA,WAB,SD,1.334738999,103.740303,28301,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:09:17+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:16:44+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:25:44+08:00,0,0,1,SEA,WAB,SD,1.334496265,103.7388156,28431,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:10:11+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:17:24+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:24+08:00,0,0,1,SEA,WAB,SD,1.332122873,103.7397917,28249,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:11:47+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:18:51+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:27:51+08:00,0,0,1,SEA,WAB,SD,1.329804425,103.7430715,28239,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:13:15+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:54+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:28:54+08:00,0,0,1,SEA,WAB,SD,1.325366752,103.7459319,28229,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:14:20+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:40+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:40+08:00,0,0,1,SEA,WAB,SD,1.323321088,103.7476935,20059,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:15:53+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:43+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:30:43+08:00,0,0,1,SEA,WAB,SD,1.321024998,103.7547151,20039,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:16:53+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:22:44+08:00,0,0,1,SEA,WAB,DD,28009,2089,2018-04-16T06:31:44+08:00,0,0,1,SEA,WAB,SD,1.31776998,103.7576127,20029,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:06:17+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:18:04+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:55+08:00,0,0,1,SEA,WAB,DD,1.313576111,103.7615108,20019,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:07:15+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:19:02+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:41+08:00,0,0,1,SEA,WAB,DD,1.311715151,103.7634618,17149,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:08:15+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:20:02+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:25:35+08:00,0,0,1,SEA,WAB,DD,1.309033047,103.76587,17139,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:09:30+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:21:17+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:26:31+08:00,0,0,1,SEA,WAB,DD,1.305141367,103.7698584,17129,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:11:23+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:23:10+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:28:10+08:00,0,0,1,SEA,WAB,DD,1.3006125,103.7781514,16099,16/4/2018 6:06
97,TTS,28009,2089,2018-04-16T06:12:52+08:00,1.317589833,103.7577563,1,SEA,WAB,DD,28009,2089,2018-04-16T06:24:39+08:00,1.3333495,103.7415533,1,SEA,WAB,DD,28009,2089,2018-04-16T06:29:15+08:00,0,0,1,SEA,WAB,DD,1.296481774,103.7845539,18079,16/4/2018 6:06
