"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode","timestamp"
"routeInfo",1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617,103.8625577,2099,2018-04-16 17:55:48,1.291016617
"",97,TTS,02101,28009,2018-04-16T18:04:00+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:14:00+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:24:00+08:00,0,0,1,SEA,WAB,SD,1.289391976,103.8618029,2101,2018-04-16 17:55:48
"",97,TTS,02101,28009,2018-04-16T17:58:40+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:05:09+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:15:09+08:00,0,0,1,SEA,WAB,DD,1.289503056,103.8590339,2051,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:58:40+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:05:43+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:15:43+08:00,0,0,1,SEA,WAB,DD,1.289963889,103.8564039,2061,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:00:09+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:09:29+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:19:29+08:00,0,0,1,SEA,WAB,DD,1.293177763,103.8578462,2151,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:02:00+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:11:20+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:21:20+08:00,0,0,1,SEA,WAB,DD,1.292685535,103.8609316,2161,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:03:20+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:12:40+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:22:40+08:00,0,0,1,SEA,WAB,DD,1.2907,103.8609219,2171,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:56:07+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:05:36+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:14:56+08:00,0,0,1,SEA,WAB,DD,1.28315,103.8600439,3509,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:57:18+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:06:52+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:16:12+08:00,0,0,1,SEA,WAB,DD,1.281245,103.858848,3519,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:59:45+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:09:11+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:18:31+08:00,0,0,1,SEA,WAB,DD,1.277533055,103.8556161,3539,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:00:54+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:09:56+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:19:16+08:00,0,0,1,SEA,WAB,DD,1.279399574,103.8527877,3529,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:05:26+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:11:23+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:20:43+08:00,0,0,1,SEA,WAB,DD,1.278070035,103.8495672,3129,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T18:07:33+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:12:31+08:00,0,0,1,SEA,WAB,DD,02101,28009,2018-04-16T18:21:51+08:00,0,0,1,SEA,WAB,DD,1.275522189,103.8479444,3217,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:57:22+08:00,1.2753195,103.8478595,1,SEA,WAB,SD,02101,28009,2018-04-16T18:11:10+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,02101,28009,2018-04-16T18:15:11+08:00,0,0,1,SEA,WAB,DD,1.272384212,103.8409391,5649,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:54:54+08:00,1.2723268333333333,103.84056066666666,1,SEA,WAB,DD,02101,28009,2018-04-16T17:58:40+08:00,1.2753195,103.8478595,1,SEA,WAB,SD,02101,28009,2018-04-16T18:12:29+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,1.272312698,103.8386204,14061,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:55:51+08:00,1.2723268333333333,103.84056066666666,1,SEA,WAB,DD,02101,28009,2018-04-16T17:59:37+08:00,1.2753195,103.8478595,1,SEA,WAB,SD,02101,28009,2018-04-16T18:13:36+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,1.272203424,103.8339026,14071,2018-04-16 17:55:49
"",97,TTS,02101,28009,2018-04-16T17:56:39+08:00,1.2723268333333333,103.84056066666666,1,SEA,WAB,DD,02101,28009,2018-04-16T18:00:25+08:00,1.2753195,103.8478595,1,SEA,WAB,SD,02101,28009,2018-04-16T18:14:24+08:00,1.2898861666666668,103.860978,1,SEA,WAB,DD,1.270677606,103.8306137,14081,2018-04-16 17:55:49
